date,name,cik,variable,value
2009-12-23,Roper Technologies,882835.0,added_ticker,ROP
2010-01-29,NRG Energy,1013871.0,added_ticker,NRG
2010-02-16,Berkshire Hathaway,1067983.0,added_ticker,BRK.B
2010-02-26,Helmerich & Payne,,added_ticker,HP
2010-02-26,IMS Health,,removed_ticker,RX
2010-03-01,"Discovery, Inc. (Class A)",1437107.0,added_ticker,DISCA
2010-03-15,ONEOK,1039684.0,added_ticker,OKE
2010-04-29,BJ Services Company,,removed_ticker,BJS
2010-04-29,Cerner Corp.,,added_ticker,CERN
2010-04-30,Cerner,804753.0,added_ticker,CERN
2010-06-28,Carmax Inc,1170010.0,added_ticker,KMX
2010-06-28,XTO Energy Inc.,,removed_ticker,XTO
2010-06-30,Questar Corp.,,removed_ticker,STR
2010-06-30,QEP Resources,,added_ticker,QEP
2010-07-14,Chubb Limited,,added_ticker,CB
2010-07-14,Millipore Inc.,,removed_ticker,MIL
2010-07-15,Chubb Limited,896159.0,added_ticker,CB
2010-08-26,Smith International Inc.,,removed_ticker,SII
2010-08-26,Tyco International Ltd.,,added_ticker,TYC
2010-08-27,Johnson Controls International,833444.0,added_ticker,JCI
2010-11-17,Ingersoll-Rand plc,,added_ticker,IR
2010-11-17,Pactiv Corp.,,removed_ticker,PTV
2010-11-17,Trane Technologies plc,1466258.0,added_ticker,TT
2010-12-17,King Pharmaceuticals Inc.,,removed_ticker,KG
2010-12-17,Cablevision Systems Corp.,,added_ticker,CVC
2010-12-17,F5 Networks Inc.,,added_ticker,FFIV
2010-12-17,Eastman Kodak Co.,,removed_ticker,EK
2010-12-17,Netflix Inc.,,added_ticker,NFLX
2010-12-17,Office Depot Inc.,,removed_ticker,ODP
2010-12-17,Newfield Exploration,,added_ticker,NFX
2010-12-17,The New York Times Co.,,removed_ticker,NYT
2010-12-20,F5 Networks,1048695.0,added_ticker,FFIV
2010-12-20,Netflix Inc.,1065280.0,added_ticker,NFLX
2011-02-25,Allegheny Energy Inc.,,removed_ticker,AYE
2011-02-25,Joy Global Inc.,,added_ticker,JOY
2011-02-28,McAfee Inc.,,removed_ticker,MFE
2011-02-28,Covidien plc,,added_ticker,COV
2011-03-31,Qwest Communications,,removed_ticker,Q
2011-03-31,Edwards Lifesciences,,added_ticker,EW
2011-04-01,BlackRock,,added_ticker,BLK
2011-04-01,Edwards Lifesciences,1099800.0,added_ticker,EW
2011-04-01,Genzyme Corp.,,removed_ticker,GENZ
2011-04-04,BlackRock,1364742.0,added_ticker,BLK
2011-04-27,Chipotle Mexican Grill,,added_ticker,CMG
2011-04-27,"Novell, Inc.",,removed_ticker,NOVL
2011-04-28,Chipotle Mexican Grill,1058090.0,added_ticker,CMG
2011-06-01,"Alpha Natural Resources, Inc.",,added_ticker,ANR
2011-06-01,Massey Energy Company,,removed_ticker,MEE
2011-06-30,Marathon Petroleum Corp,,added_ticker,MPC
2011-06-30,RadioShack Corp.,,removed_ticker,RSH
2011-07-01,Marathon Petroleum,1510295.0,added_ticker,MPC
2011-07-05,Accenture plc,,added_ticker,ACN
2011-07-05,Marshall & Iisley Corp.,,removed_ticker,MI
2011-07-06,Accenture plc,1467373.0,added_ticker,ACN
2011-09-23,The Mosaic Company,,added_ticker,MOS
2011-09-23,National Semiconductor Corp.,,removed_ticker,NSM
2011-09-26,The Mosaic Company,1285785.0,added_ticker,MOS
2011-10-14,TE Connectivity Ltd.,,added_ticker,TEL
2011-10-14,Cephalon Inc.,,removed_ticker,CEPH
2011-10-17,TE Connectivity Ltd.,1385157.0,added_ticker,TEL
2011-10-31,Xylem Inc.,,added_ticker,XYL
2011-10-31,ITT Corp.,,removed_ticker,ITT
2011-11-01,Xylem Inc.,1524472.0,added_ticker,XYL
2011-11-18,Cooper Industries,,added_ticker,CBE
2011-11-18,Janus Capital Group,,removed_ticker,JNS
2011-12-12,Nicor Inc.,,removed_ticker,GAS
2011-12-12,AGL Resources Inc.,,added_ticker,GAS
2011-12-16,Perrigo Co.,,added_ticker,PRGO
2011-12-16,AK Steel Holding Corp.,,removed_ticker,AKS
2011-12-16,Dollar Tree Inc.,,added_ticker,DLTR
2011-12-16,Monster Worldwide Inc.,,removed_ticker,MWW
2011-12-16,MEMC Electronic Materials Inc.,,removed_ticker,WFR
2011-12-16,BorgWarner Inc.,,added_ticker,BWA
2011-12-19,BorgWarner,908255.0,added_ticker,BWA
2011-12-19,Perrigo,1585364.0,added_ticker,PRGO
2011-12-19,Dollar Tree,935703.0,added_ticker,DLTR
2011-12-20,Tellabs Inc.,,removed_ticker,TLAB
2011-12-20,TripAdvisor Inc.,,added_ticker,TRIP
2011-12-31,"WPX Energy, Inc.",,added_ticker,WPX
2011-12-31,Compuware,,removed_ticker,CPWR
2012-03-13,Constellation Energy Group,,removed_ticker,CEG
2012-03-13,Crown Castle International Corp.,,added_ticker,CCI
